Fuel,Generator,Transport Charge
SUBCRITICAL-COAL,GEN_312003_KORBW2_220_2,106.61
DIESEL,GEN_312011_SILTARA_220_1,40.33
SUBCRITICAL-COAL,GEN_312013_JINB2-2_220_4,103.83
SUBCRITICAL-COAL,GEN_312014_KORBAEXT_220_1,207.22
SUBCRITICAL-COAL,GEN_312014_KORBAEXT_220_2,207.22
SUBCRITICAL-COAL,GEN_312019_BALCO2_220_1,103.83
SUBCRITICAL-COAL,GEN_312019_BALCO2_220_2,103.83
SUBCRITICAL-COAL,GEN_312019_BALCO2_220_3,103.83
SUBCRITICAL-COAL,GEN_312019_BALCO2_220_4,103.83
SUBCRITICAL-COAL,GEN_312020_JSPCL2_220_1,103.83
SUBCRITICAL-COAL,GEN_312032_BALCO_220_1,103.83
SUBCRITICAL-COAL,GEN_312035_DCPP_JS_220_1,103.83
SUBCRITICAL-COAL,GEN_312035_DCPP_JS_220_2,103.83
SUBCRITICAL-COAL,GEN_312036_DCPP_JS_220_1,103.83
SUBCRITICAL-COAL,GEN_312036_DCPP_JS_220_2,103.83
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_1,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_2,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_3,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_4,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_5,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_6,46.24
SUBCRITICAL-COAL,GEN_314001_KNTPC4_400_7,44.49
SUBCRITICAL-COAL,GEN_314003_KORBW4_400_3,106.61
SUBCRITICAL-COAL,GEN_314003_KORBW4_400_4,106.61
SUBCRITICAL-COAL,GEN_314003_KORBW4_400_5,106.61
SUBCRITICAL-COAL,GEN_314007_NSPCL4_400_1,103.83
SUBCRITICAL-COAL,GEN_314007_NSPCL4_400_2,103.83
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_1,112.8
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_2,112.8
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_3,112.8
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_4,112.8
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_5,112.8
SUBCRITICAL-COAL,GEN_314009_KSKMAHNADI_400_6,112.8
SUBCRITICAL-COAL,GEN_314010_PATH4_400_1,90.86
SUBCRITICAL-COAL,GEN_314010_PATH4_400_2,90.86
SUBCRITICAL-COAL,GEN_314012_MCCPL_400_1,103.83
